r,z
0.867391304347826,-1.7713043478260868
0.8765217391304347,-1.7621739130434781
0.8765217391304347,-1.7530434782608695
0.8765217391304347,-1.7439130434782606
0.8856521739130434,-1.734782608695652
0.8856521739130434,-1.7256521739130433
0.8856521739130434,-1.7165217391304346
0.8947826086956521,-1.707391304347826
0.8947826086956521,-1.6982608695652173
0.8947826086956521,-1.6891304347826086
0.9039130434782607,-1.6799999999999997
0.9039130434782607,-1.670869565217391
0.9039130434782607,-1.6617391304347824
0.9130434782608695,-1.6526086956521737
0.9130434782608695,-1.643478260869565
0.9130434782608695,-1.6343478260869564
0.9130434782608695,-1.6252173913043477
0.9221739130434782,-1.616086956521739
0.9221739130434782,-1.6069565217391302
0.9221739130434782,-1.5978260869565215
0.9221739130434782,-1.5886956521739128
0.9221739130434782,-1.5795652173913042
0.9221739130434782,-1.5704347826086955
0.9221739130434782,-1.5613043478260868
0.9221739130434782,-1.5521739130434782
0.9313043478260868,-1.5430434782608693
0.9313043478260868,-1.5339130434782606
0.9313043478260868,-1.524782608695652
0.9313043478260868,-1.5156521739130433
0.9313043478260868,-1.5065217391304346
0.9404347826086955,-1.497391304347826
0.9404347826086955,-1.4882608695652173
0.9404347826086955,-1.4791304347826086
0.9404347826086955,-1.4699999999999998
0.9404347826086955,-1.460869565217391
0.9404347826086955,-1.4517391304347824
0.9404347826086955,-1.4426086956521738
0.9495652173913043,-1.433478260869565
0.9495652173913043,-1.4243478260869564
0.9495652173913043,-1.4152173913043478
0.9495652173913043,-1.4060869565217389
0.9495652173913043,-1.3969565217391302
0.9495652173913043,-1.3878260869565215
0.9495652173913043,-1.3786956521739129
0.9495652173913043,-1.3695652173913042
0.9495652173913043,-1.3604347826086955
0.9495652173913043,-1.3513043478260869
0.9495652173913043,-1.3421739130434782
0.9495652173913043,-1.3330434782608693
0.9495652173913043,-1.3239130434782607
0.9495652173913043,-1.314782608695652
0.9495652173913043,-1.3056521739130433
0.9495652173913043,-1.2965217391304347
0.9495652173913043,-1.287391304347826
0.9495652173913043,-1.2782608695652173
0.9495652173913043,-1.2691304347826085
0.9495652173913043,-1.2599999999999998
0.9495652173913043,-1.2508695652173911
0.9495652173913043,-1.2417391304347825
0.9495652173913043,-1.2326086956521738
0.9495652173913043,-1.2234782608695651
